[10.796] あかの: キター
[1487.710] yut7xot8: やるとしたら何時からですか？
[1487.947] eremin_39: 最悪Jでもいいよ
[1491.374] Jupiter1207: ぷげら呼んで
[1492.828] (S)4444446666: ラジオ明日か
[1493.066] despera_lk: ウメさん今日も重労働やんけ、何時間働くねん
[1493.159] 1108044k: 時間的に間に合う？
[1494.076] Sanh43: Where you going?
[1494.234] gyu_nyuu_pann: めっちゃ楽しみ
[1496.036] persona777: 最近やってないからみたい
[1500.883] sabotenn6: 前ステくるでしょ
[1503.455] ~MISSING_COMMENTER_INFO~: ｗ
[1503.784] bunkichi23: ぷげ見てみたいｗ
[1504.043] セツリ: それなｗ
[1506.792] エスシーハート: コードネームは誰主催？
[1508.034] sublinear: ww
[1512.189] セツリ: かえってこれるならいいけども！
[1515.000] (S)4444446666: それは流石に余裕
[1519.723] rapid_pierrot: カクノの真似してる人居ます？
[1520.561] Artemis_Reinhold: I will support Daigo, even walking 
[1521.220] gyu_nyuu_pann: え今日コードネーム？
[1522.223] kenken0404: 雪山はもうやらないの？
[1523.455] (S)BaTiTi6969: ぷげらさん面白そうw
[1524.750] piyopiyomaru555: 流石によゆう
[1530.387] 1gochan: 決まってるメンツは誰ですか？
[1531.723] (S)4444446666: グーグル的には徒歩3時間半 20時ごろに着く計算
[1539.833] ykk19: ボンちゃん馬鹿ボンちゃん馬鹿
[1540.832] sublinear: ごんたのサナダムシ発信だな
[1550.108] rxz_2017: サナダムシにごんた連れてきてもらって
[1558.083] エスシーハート: 自由が丘だったら23時までに帰宅できそうですね
[1560.894] bxt203: こんにちわ
[1561.723] eremin_39: ミートうおおおおおお
[1561.883] gettyozi: ミートさん珍しいな
[1561.928] ~MISSING_COMMENTER_INFO~: コードネームてボドゲのやつか
[1563.038] garu735: ゆうさんいいねぇ
[1566.293] sublinear: 渋いね
[1566.713] meron: 都会っぽい通りや
[1570.011] gyu_nyuu_pann: いいね
[1570.145] bunkichi23: トラボ？
[1571.991] tamagon_: けんじさん？
[1572.126] kaigaizei: 部外者さよなら
[1572.162] Jupiter1207: ピストン氏いないのか
[1573.634] 黒猫くん: お、お篠さん
[1573.993] 1gochan: ミートさん！
[1576.415] despera_lk: マサ欲しいなそのメンツ
[1586.752] rias9121: 部外者どうして・・・
[1588.018] sabotenn6: ボンちゃんこねーかな
[1593.623] rxz_2017: 新メンバー？
[1595.392] eremin_39: ｊカワノ
[1596.198] piyopiyomaru555: がっちゃん
[1606.232] kaigaizei: ゴンタが主催してから一回も部外者呼ばれないんだが？
[1615.328] (S)purpleskin06: hamadamasatoc1 subscribed with Prime. They've subscribed for 8 months! 今日誕生日です産んでくれてありがとうー
[1615.402] (M)Moobot: @HAMADAMASATOC1さん、サブスク登録8ヶ月目！
[1623.170] gyu_nyuu_pann: 今日の11時？
[1627.668] ykk19: 国語１勢が毎回やらかすのがパターン
[1639.853] Kojirou5260: おめでとー
[1644.668] tunnel_hitboxer: おめでとー
[1645.884] simautipuro: ウメちゃんいつ産んだんや
[1646.661] gomesu: gomesu is gifting 5 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 248 in the channel! 
[1648.018] gomesu: gomesu gifted a Tier 1 sub to ライコネンさん! 
[1648.036] gomesu: gomesu gifted a Tier 1 sub to gyu_nyuu_pann! 
[1648.067] gomesu: gomesu gifted a Tier 1 sub to ffbline! 
[1648.085] gomesu: gomesu gifted a Tier 1 sub to 이노센트_! 
[1648.167] gomesu: gomesu gifted a Tier 1 sub to pesu112! 
[1648.232] (S)gyu_nyuu_pann: おめでと！
[1650.634] よしみちゃん: おめでとうございます。
[1651.251] enuemu3: おめでとう！
[1656.349] mmiiacha: wa
[1657.901] tunnel_hitboxer: うわすご
[1669.721] (S)purpleskin06: umeCatHope
[1680.012] kaigaizei: じゃあもう部外者は来れなくなったのか…
[1689.152] Jupiter1207: こたかとぷげらのコードネーム見たい
[1689.269] imokun888: umeYung
[1703.641] Sanh43: Going to arcade?
[1704.723] おひとつ: えどもんずのマスター呼ぼう
[1710.894] sublinear: めめうちゃんとJ戦わせよう
[1711.535] tamagon_: Jさん見たいなー
[1714.808] eremin_39: マイクラ楽しんでる
[1715.267] gettyozi: マスターｗｗｗｗｗｗ
[1724.934] warunekochan: 部外者マイクラでまえすてしてるよ
[1727.434] kaigaizei: マスターとはやお呼ぼう
[1728.255] (S)erisuk: マスターだよ？
[1732.868] ﾃﾄﾗﾝ: マイクラで前ステしてる
[1734.040] nop64: またちょもす見たい
[1736.634] despera_lk: 部外者は最近マイクラで見るね
[1738.169] enuemu3: コーヒー2
[1741.464] 戸愚呂妹: コーヒー５とか出してきそう
[1744.694] rxz_2017: ヒントがすべてコーヒー繋がりに
[1746.931] ~MISSING_COMMENTER_INFO~: きれいだなー
[1748.175] (S)らんぺーじ: らんぺーじ subscribed with Prime. 
[1748.293] (M)Moobot: @RAM13PAGEさんTwitch Prime登録ありがとうございます！
[1753.084] rapid_pierrot: コーヒー銘柄に結びつけられたら詰むねえ
[1753.717] そるてぃ: まっすぐでも左にコレド
[1753.983] rias9121: 夜は綺麗だなー
[1758.364] sdy_hs: やしろあき、すきなんですねぇ
[1759.233] dekisugi3: 本当の部外者になってしまうよ！
[1776.418] mmiiacha: しまわれる・・・
[1779.502] rias9121: じゃあの；；
[1780.264] rxz_2017: ぎゃああああああ
[1780.670] 天内崇: ぎゃあああああああああ
[1780.700] despera_lk: いやーんこわーい
[1781.956] 黒猫くん: 闇は嫌じゃぁ
[1781.978] piyopiyomaru555: しまっちゃうおじさんだああああ
[1782.292] prosciu: 俺たちもコレドに進入
[1782.919] HirocoT: はい
[1784.466] garu735: うわぁぁ
[1786.808] (S)nijiojisan: umeYay
[1787.045] 泣き虫サクラ: 南くんの恋人モード
[1787.057] anzentitai: NotLikeThis
[1787.850] おひとつ: ぎゃああー
[1788.535] imokun888: 魔封波や
[1788.838] enuemu3: うわあああ
[1789.540] ~MISSING_COMMENTER_INFO~: うわぁ
[1789.926] sabotenn6: や、やめろーーーーーーー
[1791.708] あずき3: まわるうううう
[1793.040] (S)gyu_nyuu_pann: 嫌だぁー
[1793.264] okamasa456: しまっちゃうよー
[1794.566] mako6912: WutFace
[1796.273] nop64: ミュートは？
[1799.076] beehive3: 酔った
[1800.361] meron: ぐるぐる
[1800.993] (S)teruharu_: umeYay
[1802.771] セツリ: 乱暴！！
[1802.969] tabibitox: 目がｗ
[1803.187] (S)erisuk: あの時のジンバルじゃ・・ない！？
[1804.489] enuemu3: ▂▅▇█▓▒(’ω’)▒▓█▇▅▂
[1804.706] sabotenn6: もう、許して
[1805.770] (S)gyu_nyuu_pann: くるくる
[1805.893] 戸愚呂妹: ジョボジョボくるんか？
[1806.214] rxz_2017: 音きって
[1810.217] (S)BaTiTi6969: BibleThump
[1811.098] minimini3223: BibleThump
[1811.520] sinomori: 貴重なトイレシーン
[1811.791] warunekochan: しまわれる
[1813.353] prosciu: ミュートしてないな
[1813.425] rias9121: しまっちゃおうねー
[1815.341] Artemis_Reinhold: No English... i feel weird 
[1816.307] uridon123: 暗いの狭いの怖いよ〜
[1819.231] enuemu3: しまわれちゃう
[1821.681] mmiiacha: 無
[1823.027] minimini3223: 暗闇は嫌だ‥
[1824.613] (S)gyu_nyuu_pann: 音は？
[1827.280] despera_lk: あああああ
[1827.810] prosciu: あ、ミュートされた
[1828.721] (S)erisuk: 伊勢改変
[1830.894] セツリ: 視覚と聴覚を奪われた人間は、発狂する
[1831.132] tsevin: bye bye
[1832.212] Aatyu: RyuChamp
[1832.984] そるてぃ: ウメのスマホに転生
[1833.318] 5don: ミュートOK
[1833.487] Ramen_soul: kurichUnnp
[1834.276] (S)nijiojisan: BibleThump
[1835.044] despera_lk: umeShave
[1835.293] (S)gyu_nyuu_pann: 暗いよー
[1838.979] あずき3: ウメちゃんの中、あったかいなりぃ…
[1839.497] rxz_2017: そして視聴者は考えるのをやめた
[1841.624] (S)teruharu_: ﾀｽｹﾃ
[1843.903] neogreenlife: 世界は闇に包まれた
[1843.929] tabibitox: 音聴きたいド変態おるｗ
[1843.957] warunekochan: コードネームメンバー誰って言ってたか教えてください〜
[1850.524] enuemu3: CurseLit
[1851.444] 黒猫くん: 聴覚も視覚も奪われた
[1854.776] imokun888: すべての記憶 すべてのそんざい すべての次元を消し そして わたしも消えよう 永遠に！！
[1861.323] sabotenn6: ﾀﾞﾒｶﾓｼﾚﾝ
[1862.238] (S)erisuk: 要のばんかいきてんね
[1864.333] despera_lk: umeSmoosh
[1865.600] matsu_zalem: ん？トイレ？
[1868.472] セツリ: ごんた、おしの、裕、ミートたけし、ウメ あと誰か・・
[1871.792] おひとつ: PKスターストーム覚えそう
[1875.128] tunnel_hitboxer: テニプリの幸村だな
[1875.870] あずき3: じょぼぼっぼぼおぼぼ
[1882.252] prosciu: コレドのトイレ配信
[1882.397] (M)Moobot: ワイヤレスヘッドセット Cloud ll Wireless 発売！ http://hyperx.gg/3i5czYA
[1887.423] warunekochan: やったー祐くん！ありがとうございます！
[1891.190] (S)nijiojisan: umeYay
[1900.250] Artemis_Reinhold: evoThink
[1901.308] tomohirom: ハテナ？
[1905.733] mako6912: umeSnooze
[1907.393] neogreenlife: 視覚と聴覚奪われた人間ってこうなるんだね
[1911.926] suginaka56: umeYay
[1912.059] nop64: ジョボ？ジョボボボボ
[1913.740] (S)BaTiTi6969: umeCatSleep
[1914.106] (S)teruharu_: ブリブリだったらどうしてくれんの？
[1915.950] たあぼ0126: きたら画面が暗い
[1919.734] あずき3: ワイヤレスヘッドセットなら放尿音もワイヤレスでお届けできるのに
[1923.506] sublinear: 今日自由が丘まで歩くの？？？
[1926.280] Artemis_Reinhold: sakoKUROeddie
[1926.320] wobowobu: we are in the pocket?
[1932.285] (S)teruharu_: umeSnooze
[1934.182] セツリ: FootYellow
[1936.695] sublinear: 日本橋じゃなかった？？
[1951.954] warunekochan: 日本橋ですねぇ。。
[1953.058] Artemis_Reinhold: sakoNagareruOYAYUBI
[1953.284] shinpepepe123: 自由が丘って東京の？
[1954.166] prosciu: 自由が丘まで歩きます
[1965.931] enuemu3: WC
[1967.705] warunekochan: 流石に無理じゃないか？
[1970.246] sublinear: すげぇ歩くじゃん・・・ビビるわw
[1972.083] okamasa456: 16キロは超近いからさあ
[1973.300] (S)teruharu_: umeCatHope
[1980.223] warunekochan: 16キロか。
[1980.672] mmiiacha: StinkyCheese
[1985.987] weeep1: 16kmは徒歩圏内
[1988.821] enuemu3: 体力凄いよなぁ
[1995.221] (S)BaTiTi6969: umeCatSleep
[1999.091] (S)teruharu_: umeCat
[2002.642] prosciu: 本人は割と近いらしい
[2015.249] imokun888: ついこないだ普通に7時間歩いてたしなあ
[2015.252] suginaka56: narikunIb
[2017.788] (S)nijiojisan: umeSnooze
[2020.627] nop64: 一応20時着予定
[2021.106] warunekochan: 眠くなりそう…
[2023.860] perfecttakahashi: ふーどのためにウメちゃんのしり叩かないと
[2025.887] Artemis_Reinhold: evoFinal
[2030.924] (S)めぐみさんだと: 16キロって言われれば絶対車使う
[2037.281] おひとつ: daigo is in restroom now
[2038.171] flashbacks18: YES like that
[2039.490] NekoPunchKick: バッグの中ですか？？
[2042.239] nagisasaan00: はじまった？
[2049.856] tunnel_hitboxer: 徒歩4時間とかそれ以上な感じ
[2054.662] warunekochan: 小さくなった気分
[2060.557] 泣き虫サクラ: 心の清いものだけが映像みれます
[2060.750] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[2064.058] NekoPunchKick: ぷはぁ
[2064.361] imokun888: 光が…
[2065.544] tunnel_hitboxer: ん？
[2066.644] rias9121: 釈放
[2067.536] (S)teruharu_: umeYay
[2068.855] Papapadad: 産まれた
[2070.849] tunnel_hitboxer: 光あれ
[2075.348] prototypeie: ピカピカ
[2076.606] temprayatsu: ヌッ
[2077.889] おひとつ: おかえり
[2079.522] nagisasaan00: 清くなった！
[2084.597] あずき3: う、産まれたぁ…
[2085.660] enuemu3: ｵﾝｷﾞｬｱ！ｵﾝｷﾞｬｱ！
[2098.107] enuemu3: 元気なおじですよ
[2099.353] rias9121: おかえり
[2102.203] (S)gyu_nyuu_pann: おかえりー
[2102.425] (S)めぐみさんだと: おかえりー
[2106.595] (S)v_harumi_v: おかえりなさい
[2109.316] (S)gyu_nyuu_pann: イルミきれい
[2110.585] (S)teruharu_: きれー
[2114.628] enuemu3: おかえりなさい
[2115.812] nagisasaan00: きれー
[2120.481] 泣き虫サクラ: 世界って綺麗だなぁ
[2122.348] rias9121: ウメとイルミネーションデートなう
[2123.025] kame277: メリークリスマス!
[2123.510] enuemu3: 綺麗ですね
[2123.998] neogreenlife: きれいっす！
[2124.220] (S)myodent21: 綺麗だな〜
[2125.315] 泣き虫サクラ: 産まれてよかった
[2125.404] (S)めぐみさんだと: いいねえ
[2127.492] メピパラ: 寒くないですか？
[2128.258] (S)gyu_nyuu_pann: 名前の横についてるやつなんでうどんなの？
[2142.983] (S)BaTiTi6969: え！？もうそんなに外暗いの！？
[2156.659] (S)gyu_nyuu_pann: おしゃ
[2161.380] (S)vvvv102: わーなんかキラキラしてる
[2166.070] メピパラ: じゃんがらだったのか…
[2166.122] (S)teruharu_: ソバかと思ってたｗ
[2169.333] tunnel_hitboxer: ラーメン=じゃんがら
[2175.552] ドネスポ: 銀座ですか
[2175.783] Jupiter1207: えどもんずの店長の写真見たけどカーネルサンダースみたいだった
[2177.161] (S)gyu_nyuu_pann: ラーメンなのか
[2177.522] (S)v_harumi_v: イルミネーションが奇麗ですね。
[2178.847] kaigaizei: 地下労働者かもしれん
[2182.804] mmiiacha: もう12月14日だもんねぇ。二週間ちょいで今年終わるじゃんねぇ。
[2187.012] Papapadad: ウメちゃんおはよう
[2191.684] mitumasa: 寒そうだね
[2193.302] temprayatsu: 東京はこんなもんやね
[2193.319] ほっきょく: まだ京橋かぁ
[2193.419] CyNi_mgs: whats the time in japan rn?
[2193.841] weeep1: じゃんがらだったのか 長年の謎がとけた
[2197.282] 泣き虫サクラ: きっと引きこもりで空を見てないんだよ
[2198.829] (S)BaTiTi6969: 熊本です。まだ薄っすら青空が見えてます。
[2199.019] (S)gyu_nyuu_pann: 17:01
[2202.923] perfecttakahashi: 最近ウメちゃん視聴者との絡みが増えたね。意図的？
[2206.664] CyNi_mgs: @gyu_nyuu_pann thx
